City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Moyale,3.5167,39.0584,65.93,62,0,6.06,KE,2022-11-17 01:37:02
278,Surok,56.4469,48.1214,17.94,88,100,5.79,RU,2022-11-17 01:37:02
279,Plettenberg Bay,-34.0527,23.3716,58.08,79,98,5.14,ZA,2022-11-17 01:37:03
280,Bridlington,54.0831,-0.1919,54.01,87,100,15.99,GB,2022-11-17 01:37:03
281,Mitchell,43.7094,-98.0298,28.38,78,100,11.5,US,2022-11-17 01:34:57
282,Dongsheng,39.8161,109.9776,40.86,47,12,4.52,CN,2022-11-17 01:37:03
283,Okitipupa,6.5047,4.7839,72.81,95,100,1.3,NG,2022-11-17 01:37:04
284,Tessalit,20.1986,1.0114,66.97,16,51,6.62,ML,2022-11-17 01:37:04
285,Svetlaya,46.5389,138.3297,32.94,52,5,2.82,RU,2022-11-17 01:37:05
286,Cayenne,4.9333,-52.3333,78.84,89,0,0.0,GF,2022-11-17 01:37:05
287,Banda Aceh,5.5577,95.3222,82.0,72,100,12.77,ID,2022-11-17 01:37:05
288,Montague,42.5356,-72.5351,40.24,86,100,8.14,US,2022-11-17 01:37:06
289,Pittsfield,42.4501,-73.2454,38.03,85,0,10.36,US,2022-11-17 01:36:06
290,Tiznit,29.5833,-9.5,62.11,30,22,2.48,MA,2022-11-17 01:37:06
291,Vostok,46.4856,135.8833,26.96,70,88,2.53,RU,2022-11-17 01:37:07
